Geography,Time arriving a,Main mode of co,Total - Commuting duration
0105.00 - Abbotsford - Mission,Total - Time arriving at work,    Public transit,0.0
0105.00 - Abbotsford - Mission,Total - Time arriving at work,    Active transportation,25.0
0105.00 - Abbotsford - Mission,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0106.03 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a driver",55.0
0106.03 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a passenger",10.0
0106.03 - Abbotsford - Mission,Total - Time arriving at work,    Public transit,0.0
0106.03 - Abbotsford - Mission,Total - Time arriving at work,    Active transportation,10.0
0106.03 - Abbotsford - Mission,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0106.04 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a driver",215.0
0106.04 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a passenger",20.0
0106.04 - Abbotsford - Mission,Total - Time arriving at work,    Public transit,10.0
0106.04 - Abbotsford - Mission,Total - Time arriving at work,    Active transportation,50.0
0106.04 - Abbotsford - Mission,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0106.05 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a driver",550.0
0106.05 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a passenger",80.0
0106.05 - Abbotsford - Mission,Total - Time arriving at work,    Public transit,10.0
0106.05 - Abbotsford - Mission,Total - Time arriving at work,    Active transportation,35.0
0106.05 - Abbotsford - Mission,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0106.06 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a driver",350.0
0106.06 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a passenger",0.0
0106.06 - Abbotsford - Mission,Total - Time arriving at work,    Public transit,0.0
0106.06 - Abbotsford - Mission,Total - Time arriving at work,    Active transportation,30.0
0106.06 - Abbotsford - Mission,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0200.00 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a driver",2735.0
0200.00 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a passenger",445.0
0200.00 - Abbotsford - Mission,Total - Time arriving at work,    Public transit,95.0
0200.00 - Abbotsford - Mission,Total - Time arriving at work,    Active transportation,165.0
0200.00 - Abbotsford - Mission,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0201.01 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a driver",295.0
0201.01 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a passenger",25.0
0201.01 - Abbotsford - Mission,Total - Time arriving at work,    Public transit,0.0
0201.01 - Abbotsford - Mission,Total - Time arriving at work,    Active transportation,15.0
0201.01 - Abbotsford - Mission,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0201.02 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a driver",305.0
0201.02 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a passenger",20.0
0201.02 - Abbotsford - Mission,Total - Time arriving at work,    Public transit,0.0
0201.02 - Abbotsford - Mission,Total - Time arriving at work,    Active transportation,50.0
0201.02 - Abbotsford - Mission,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0202.00 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a driver",1085.0
0202.00 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a passenger",130.0
0202.00 - Abbotsford - Mission,Total - Time arriving at work,    Public transit,35.0
0202.00 - Abbotsford - Mission,Total - Time arriving at work,    Active transportation,60.0
0202.00 - Abbotsford - Mission,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0203.00 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a driver",810.0
0203.00 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a passenger",105.0
0203.00 - Abbotsford - Mission,Total - Time arriving at work,    Public transit,25.0
0203.00 - Abbotsford - Mission,Total - Time arriving at work,    Active transportation,25.0
0203.00 - Abbotsford - Mission,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0204.00 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a driver",400.0
0204.00 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a passenger",30.0
0204.00 - Abbotsford - Mission,Total - Time arriving at work,    Public transit,15.0
0204.00 - Abbotsford - Mission,Total - Time arriving at work,    Active transportation,20.0
0204.00 - Abbotsford - Mission,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0205.00 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a driver",615.0
0205.00 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a passenger",45.0
0205.00 - Abbotsford - Mission,Total - Time arriving at work,    Public transit,0.0
0205.00 - Abbotsford - Mission,Total - Time arriving at work,    Active transportation,30.0
0205.00 - Abbotsford - Mission,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0206.01 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a driver",250.0
0206.01 - Abbotsford - Mission,Total - Time arriving at work,"    Car, truck or van - as a passenger",10.0
0206.01 - Abbotsford - Mission,Total - Time arriving at work,    Public transit,0.0
0206.01 - Abbotsford - Mission,Total - Time arriving at work,    Active transportation,50.0
