Geography,Time arriving a,Main mode of co,Total - Commuting duration
0334.02 - St. Catharines - Niagara,Total - Time arriving at work,"    Car, truck or van - as a driver",125.0
0334.02 - St. Catharines - Niagara,Total - Time arriving at work,"    Car, truck or van - as a passenger",15.0
0334.02 - St. Catharines - Niagara,Total - Time arriving at work,    Public transit,0.0
0334.02 - St. Catharines - Niagara,Total - Time arriving at work,    Active transportation,15.0
0334.02 - St. Catharines - Niagara,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
"St. John's (CMA) 001, N.L.",Total - Time arriving at work,"    Car, truck or van - as a driver",58590.0
"St. John's (CMA) 001, N.L.",Total - Time arriving at work,"    Car, truck or van - as a passenger",6455.0
"St. John's (CMA) 001, N.L.",Total - Time arriving at work,    Public transit,1995.0
"St. John's (CMA) 001, N.L.",Total - Time arriving at work,    Active transportation,3635.0
"St. John's (CMA) 001, N.L.",Total - Time arriving at work,"  Motorcycle, scooter or moped",10.0
0001.00 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",445.0
0001.00 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",15.0
0001.00 - St. John's,Total - Time arriving at work,    Public transit,0.0
0001.00 - St. John's,Total - Time arriving at work,    Active transportation,15.0
0001.00 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0002.00 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",945.0
0002.00 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",130.0
0002.00 - St. John's,Total - Time arriving at work,    Public transit,65.0
0002.00 - St. John's,Total - Time arriving at work,    Active transportation,50.0
0002.00 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0003.01 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",735.0
0003.01 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",75.0
0003.01 - St. John's,Total - Time arriving at work,    Public transit,70.0
0003.01 - St. John's,Total - Time arriving at work,    Active transportation,35.0
0003.01 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0003.02 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",1810.0
0003.02 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",235.0
0003.02 - St. John's,Total - Time arriving at work,    Public transit,180.0
0003.02 - St. John's,Total - Time arriving at work,    Active transportation,140.0
0003.02 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0004.01 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",6415.0
0004.01 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",870.0
0004.01 - St. John's,Total - Time arriving at work,    Public transit,400.0
0004.01 - St. John's,Total - Time arriving at work,    Active transportation,310.0
0004.01 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0004.02 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",905.0
0004.02 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",100.0
0004.02 - St. John's,Total - Time arriving at work,    Public transit,35.0
0004.02 - St. John's,Total - Time arriving at work,    Active transportation,70.0
0004.02 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0005.01 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",1470.0
0005.01 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",150.0
0005.01 - St. John's,Total - Time arriving at work,    Public transit,55.0
0005.01 - St. John's,Total - Time arriving at work,    Active transportation,135.0
0005.01 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0005.02 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",680.0
0005.02 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",80.0
0005.02 - St. John's,Total - Time arriving at work,    Public transit,20.0
0005.02 - St. John's,Total - Time arriving at work,    Active transportation,80.0
0005.02 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0006.00 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",2055.0
0006.00 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",280.0
0006.00 - St. John's,Total - Time arriving at work,    Public transit,110.0
0006.00 - St. John's,Total - Time arriving at work,    Active transportation,225.0
0006.00 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0007.00 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",1920.0
0007.00 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",235.0
0007.00 - St. John's,Total - Time arriving at work,    Public transit,60.0
0007.00 - St. John's,Total - Time arriving at work,    Active transportation,340.0
0007.00 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0008.00 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",875.0
0008.00 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",90.0
0008.00 - St. John's,Total - Time arriving at work,    Public transit,20.0
0008.00 - St. John's,Total - Time arriving at work,    Active transportation,75.0
0008.00 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0009.00 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",435.0
0009.00 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",45.0
0009.00 - St. John's,Total - Time arriving at work,    Public transit,15.0
0009.00 - St. John's,Total - Time arriving at work,    Active transportation,40.0
0009.00 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0010.00 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",1150.0
0010.00 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",110.0
0010.00 - St. John's,Total - Time arriving at work,    Public transit,20.0
0010.00 - St. John's,Total - Time arriving at work,    Active transportation,140.0
0010.00 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0011.00 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",135.0
0011.00 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",30.0
0011.00 - St. John's,Total - Time arriving at work,    Public transit,10.0
0011.00 - St. John's,Total - Time arriving at work,    Active transportation,70.0
0011.00 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0012.00 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",1230.0
0012.00 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",135.0
0012.00 - St. John's,Total - Time arriving at work,    Public transit,75.0
0012.00 - St. John's,Total - Time arriving at work,    Active transportation,160.0
0012.00 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0013.00 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",545.0
0013.00 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",60.0
0013.00 - St. John's,Total - Time arriving at work,    Public transit,10.0
0013.00 - St. John's,Total - Time arriving at work,    Active transportation,75.0
0013.00 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0014.00 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",1370.0
0014.00 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",145.0
0014.00 - St. John's,Total - Time arriving at work,    Public transit,45.0
0014.00 - St. John's,Total - Time arriving at work,    Active transportation,45.0
0014.00 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0015.01 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",2370.0
0015.01 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",205.0
0015.01 - St. John's,Total - Time arriving at work,    Public transit,55.0
0015.01 - St. John's,Total - Time arriving at work,    Active transportation,85.0
0015.01 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0015.02 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",405.0
0015.02 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",85.0
0015.02 - St. John's,Total - Time arriving at work,    Public transit,45.0
0015.02 - St. John's,Total - Time arriving at work,    Active transportation,50.0
0015.02 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0015.03 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",1490.0
0015.03 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",120.0
0015.03 - St. John's,Total - Time arriving at work,    Public transit,50.0
0015.03 - St. John's,Total - Time arriving at work,    Active transportation,125.0
0015.03 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0015.04 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",785.0
0015.04 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",190.0
0015.04 - St. John's,Total - Time arriving at work,    Public transit,40.0
0015.04 - St. John's,Total - Time arriving at work,    Active transportation,120.0
0015.04 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0016.01 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",860.0
0016.01 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",80.0
0016.01 - St. John's,Total - Time arriving at work,    Public transit,20.0
0016.01 - St. John's,Total - Time arriving at work,    Active transportation,15.0
0016.01 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0016.02 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",5730.0
0016.02 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",510.0
0016.02 - St. John's,Total - Time arriving at work,    Public transit,165.0
0016.02 - St. John's,Total - Time arriving at work,    Active transportation,210.0
0016.02 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0017.00 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",1020.0
0017.00 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",130.0
0017.00 - St. John's,Total - Time arriving at work,    Public transit,25.0
0017.00 - St. John's,Total - Time arriving at work,    Active transportation,0.0
0017.00 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0100.01 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",180.0
0100.01 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",35.0
0100.01 - St. John's,Total - Time arriving at work,    Public transit,0.0
0100.01 - St. John's,Total - Time arriving at work,    Active transportation,25.0
0100.01 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0100.03 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",340.0
0100.03 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",65.0
0100.03 - St. John's,Total - Time arriving at work,    Public transit,0.0
0100.03 - St. John's,Total - Time arriving at work,    Active transportation,25.0
0100.03 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0100.04 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",345.0
0100.04 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",30.0
0100.04 - St. John's,Total - Time arriving at work,    Public transit,10.0
0100.04 - St. John's,Total - Time arriving at work,    Active transportation,20.0
0100.04 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0110.00 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",665.0
0110.00 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",50.0
0110.00 - St. John's,Total - Time arriving at work,    Public transit,0.0
0110.00 - St. John's,Total - Time arriving at work,    Active transportation,75.0
0110.00 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0170.01 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",445.0
0170.01 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",70.0
0170.01 - St. John's,Total - Time arriving at work,    Public transit,50.0
0170.01 - St. John's,Total - Time arriving at work,    Active transportation,35.0
0170.01 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0170.02 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",410.0
0170.02 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",60.0
0170.02 - St. John's,Total - Time arriving at work,    Public transit,20.0
0170.02 - St. John's,Total - Time arriving at work,    Active transportation,35.0
0170.02 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0171.00 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",1290.0
0171.00 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",170.0
0171.00 - St. John's,Total - Time arriving at work,    Public transit,25.0
0171.00 - St. John's,Total - Time arriving at work,    Active transportation,70.0
0171.00 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0172.02 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",3745.0
0172.02 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",290.0
0172.02 - St. John's,Total - Time arriving at work,    Public transit,15.0
0172.02 - St. John's,Total - Time arriving at work,    Active transportation,50.0
0172.02 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0172.03 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",305.0
0172.03 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",80.0
0172.03 - St. John's,Total - Time arriving at work,    Public transit,0.0
0172.03 - St. John's,Total - Time arriving at work,    Active transportation,50.0
0172.03 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0172.04 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",1660.0
0172.04 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",95.0
0172.04 - St. John's,Total - Time arriving at work,    Public transit,10.0
0172.04 - St. John's,Total - Time arriving at work,    Active transportation,50.0
0172.04 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0172.05 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",230.0
0172.05 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",0.0
0172.05 - St. John's,Total - Time arriving at work,    Public transit,10.0
0172.05 - St. John's,Total - Time arriving at work,    Active transportation,10.0
0172.05 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0172.06 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",890.0
0172.06 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",220.0
0172.06 - St. John's,Total - Time arriving at work,    Public transit,30.0
0172.06 - St. John's,Total - Time arriving at work,    Active transportation,45.0
0172.06 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0200.01 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",3415.0
0200.01 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",365.0
0200.01 - St. John's,Total - Time arriving at work,    Public transit,160.0
0200.01 - St. John's,Total - Time arriving at work,    Active transportation,50.0
0200.01 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0200.02 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",810.0
0200.02 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",40.0
0200.02 - St. John's,Total - Time arriving at work,    Public transit,10.0
0200.02 - St. John's,Total - Time arriving at work,    Active transportation,60.0
0200.02 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0200.03 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",145.0
0200.03 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",15.0
0200.03 - St. John's,Total - Time arriving at work,    Public transit,0.0
0200.03 - St. John's,Total - Time arriving at work,    Active transportation,15.0
0200.03 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0201.00 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",230.0
0201.00 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",0.0
0201.00 - St. John's,Total - Time arriving at work,    Public transit,0.0
0201.00 - St. John's,Total - Time arriving at work,    Active transportation,60.0
0201.00 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0202.01 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",660.0
0202.01 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",35.0
0202.01 - St. John's,Total - Time arriving at work,    Public transit,15.0
0202.01 - St. John's,Total - Time arriving at work,    Active transportation,0.0
0202.01 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0202.02 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",200.0
0202.02 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",0.0
0202.02 - St. John's,Total - Time arriving at work,    Public transit,0.0
0202.02 - St. John's,Total - Time arriving at work,    Active transportation,25.0
0202.02 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0202.06 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",1060.0
0202.06 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",130.0
0202.06 - St. John's,Total - Time arriving at work,    Public transit,0.0
0202.06 - St. John's,Total - Time arriving at work,    Active transportation,40.0
0202.06 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0202.07 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",285.0
0202.07 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",65.0
0202.07 - St. John's,Total - Time arriving at work,    Public transit,25.0
0202.07 - St. John's,Total - Time arriving at work,    Active transportation,10.0
0202.07 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0202.08 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",185.0
0202.08 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",10.0
0202.08 - St. John's,Total - Time arriving at work,    Public transit,0.0
0202.08 - St. John's,Total - Time arriving at work,    Active transportation,0.0
0202.08 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0202.09 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",65.0
0202.09 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",0.0
0202.09 - St. John's,Total - Time arriving at work,    Public transit,0.0
0202.09 - St. John's,Total - Time arriving at work,    Active transportation,0.0
0202.09 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0202.10 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",1635.0
0202.10 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",140.0
0202.10 - St. John's,Total - Time arriving at work,    Public transit,0.0
0202.10 - St. John's,Total - Time arriving at work,    Active transportation,55.0
0202.10 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0300.01 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",390.0
0300.01 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",25.0
0300.01 - St. John's,Total - Time arriving at work,    Public transit,0.0
0300.01 - St. John's,Total - Time arriving at work,    Active transportation,0.0
0300.01 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0300.02 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",125.0
0300.02 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",0.0
0300.02 - St. John's,Total - Time arriving at work,    Public transit,0.0
0300.02 - St. John's,Total - Time arriving at work,    Active transportation,15.0
0300.02 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0301.01 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",1345.0
0301.01 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",160.0
0301.01 - St. John's,Total - Time arriving at work,    Public transit,0.0
0301.01 - St. John's,Total - Time arriving at work,    Active transportation,85.0
0301.01 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0301.02 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",900.0
0301.02 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",130.0
0301.02 - St. John's,Total - Time arriving at work,    Public transit,0.0
0301.02 - St. John's,Total - Time arriving at work,    Active transportation,30.0
0301.02 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0302.00 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",285.0
0302.00 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",10.0
0302.00 - St. John's,Total - Time arriving at work,    Public transit,0.0
0302.00 - St. John's,Total - Time arriving at work,    Active transportation,35.0
0302.00 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0400.00 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a driver",560.0
0400.00 - St. John's,Total - Time arriving at work,"    Car, truck or van - as a passenger",35.0
0400.00 - St. John's,Total - Time arriving at work,    Public transit,0.0
0400.00 - St. John's,Total - Time arriving at work,    Active transportation,25.0
0400.00 - St. John's,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
"Thunder Bay (CMA) 595, Ont.",Total - Time arriving at work,"    Car, truck or van - as a driver",32705.0
"Thunder Bay (CMA) 595, Ont.",Total - Time arriving at work,"    Car, truck or van - as a passenger",2610.0
"Thunder Bay (CMA) 595, Ont.",Total - Time arriving at work,    Public transit,1385.0
"Thunder Bay (CMA) 595, Ont.",Total - Time arriving at work,    Active transportation,2230.0
"Thunder Bay (CMA) 595, Ont.",Total - Time arriving at work,"  Motorcycle, scooter or moped",25.0
0001.00 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a driver",1130.0
0001.00 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a passenger",75.0
0001.00 - Thunder Bay,Total - Time arriving at work,    Public transit,50.0
0001.00 - Thunder Bay,Total - Time arriving at work,    Active transportation,45.0
0001.00 - Thunder Bay,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0002.00 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a driver",140.0
0002.00 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a passenger",0.0
0002.00 - Thunder Bay,Total - Time arriving at work,    Public transit,0.0
0002.00 - Thunder Bay,Total - Time arriving at work,    Active transportation,35.0
0002.00 - Thunder Bay,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0003.00 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a driver",1520.0
0003.00 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a passenger",75.0
0003.00 - Thunder Bay,Total - Time arriving at work,    Public transit,30.0
0003.00 - Thunder Bay,Total - Time arriving at work,    Active transportation,65.0
0003.00 - Thunder Bay,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0004.00 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a driver",1580.0
0004.00 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a passenger",105.0
0004.00 - Thunder Bay,Total - Time arriving at work,    Public transit,40.0
0004.00 - Thunder Bay,Total - Time arriving at work,    Active transportation,80.0
0004.00 - Thunder Bay,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0005.00 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a driver",495.0
0005.00 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a passenger",35.0
0005.00 - Thunder Bay,Total - Time arriving at work,    Public transit,10.0
0005.00 - Thunder Bay,Total - Time arriving at work,    Active transportation,90.0
0005.00 - Thunder Bay,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0006.00 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a driver",1045.0
0006.00 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a passenger",60.0
0006.00 - Thunder Bay,Total - Time arriving at work,    Public transit,90.0
0006.00 - Thunder Bay,Total - Time arriving at work,    Active transportation,75.0
0006.00 - Thunder Bay,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0007.00 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a driver",1105.0
0007.00 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a passenger",70.0
0007.00 - Thunder Bay,Total - Time arriving at work,    Public transit,45.0
0007.00 - Thunder Bay,Total - Time arriving at work,    Active transportation,135.0
0007.00 - Thunder Bay,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0008.00 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a driver",1390.0
0008.00 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a passenger",245.0
0008.00 - Thunder Bay,Total - Time arriving at work,    Public transit,115.0
0008.00 - Thunder Bay,Total - Time arriving at work,    Active transportation,195.0
0008.00 - Thunder Bay,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0009.01 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a driver",325.0
0009.01 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a passenger",40.0
0009.01 - Thunder Bay,Total - Time arriving at work,    Public transit,10.0
0009.01 - Thunder Bay,Total - Time arriving at work,    Active transportation,45.0
0009.01 - Thunder Bay,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0009.02 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a driver",150.0
0009.02 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a passenger",10.0
0009.02 - Thunder Bay,Total - Time arriving at work,    Public transit,20.0
0009.02 - Thunder Bay,Total - Time arriving at work,    Active transportation,10.0
0009.02 - Thunder Bay,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0010.01 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a driver",5175.0
0010.01 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a passenger",410.0
0010.01 - Thunder Bay,Total - Time arriving at work,    Public transit,240.0
0010.01 - Thunder Bay,Total - Time arriving at work,    Active transportation,180.0
0010.01 - Thunder Bay,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0010.02 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a driver",380.0
0010.02 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a passenger",40.0
0010.02 - Thunder Bay,Total - Time arriving at work,    Public transit,15.0
0010.02 - Thunder Bay,Total - Time arriving at work,    Active transportation,50.0
0010.02 - Thunder Bay,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0011.01 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a driver",1815.0
0011.01 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a passenger",235.0
0011.01 - Thunder Bay,Total - Time arriving at work,    Public transit,215.0
0011.01 - Thunder Bay,Total - Time arriving at work,    Active transportation,130.0
0011.01 - Thunder Bay,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0011.02 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a driver",1030.0
0011.02 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a passenger",70.0
0011.02 - Thunder Bay,Total - Time arriving at work,    Public transit,25.0
0011.02 - Thunder Bay,Total - Time arriving at work,    Active transportation,45.0
0011.02 - Thunder Bay,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0011.03 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a driver",3820.0
0011.03 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a passenger",190.0
0011.03 - Thunder Bay,Total - Time arriving at work,    Public transit,50.0
0011.03 - Thunder Bay,Total - Time arriving at work,    Active transportation,145.0
0011.03 - Thunder Bay,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0012.00 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a driver",435.0
0012.00 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a passenger",110.0
